	sequences per sample	iteration	mim16.m1c3t	mim16.m2c3t	mim16.m3c3t	mim16.m1c4t	mim16.m2c4t	mim16.m3c4t	mim16.m1c1l	mim16.m2c1l	mim16.m3c1l	mim16.m3c2l	mim16.m1c3l	mim16.m2c3l	mim16.m3c3l	mim16.m1c4l	mim16.m2c4l	mim16.m3c4l
alpha_rarefaction_10005_0.txt	10005	0	20.0	43.75	24.75	42.6	23.0	98.5	29.0	25.0	16.0	42.0	26.0	22.0	18.0	25.0	22.0	48.5
alpha_rarefaction_10005_1.txt	10005	1	20.0	44.5	25.2	44.1666666667	22.0	96.2	28.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.1
alpha_rarefaction_10005_2.txt	10005	2	20.0	49.0	25.0	45.4285714286	23.0	97.0	29.0	25.0	16.0	41.5	26.0	22.0	18.0	26.0	22.0	47.0
alpha_rarefaction_10005_3.txt	10005	3	19.0	43.0	24.0	45.0	23.0	97.0	29.0	25.0	16.0	41.3333333333	26.0	23.0	18.0	26.0	22.0	48.75
alpha_rarefaction_10005_4.txt	10005	4	20.0	44.25	25.1666666667	43.0	23.0	97.0	29.0	25.0	16.0	41.0	25.0	22.0	18.0	26.3333333333	22.0	47.0
alpha_rarefaction_10005_5.txt	10005	5	20.0	45.6	25.25	43.1666666667	23.0	96.0	29.0	25.0	16.0	41.0	27.0	22.5	18.0	26.0	22.0	47.5
alpha_rarefaction_10005_6.txt	10005	6	20.0	44.1428571429	25.6	44.0	23.0	96.3333333333	29.0	25.0	16.0	40.0	26.0	22.0	18.0	26.3333333333	22.0	48.25
alpha_rarefaction_10005_7.txt	10005	7	20.0	44.75	26.0	44.1111111111	23.0	97.0	29.0	25.0	16.0	41.5	26.0	22.0	18.0	26.0	22.0	46.375
alpha_rarefaction_10005_8.txt	10005	8	20.0	45.25	25.2	44.0	23.0	97.5	29.0	25.0	16.0	41.0	26.0	22.0	18.0	26.0	22.0	48.0
alpha_rarefaction_10005_9.txt	10005	9	20.0	45.0	24.0	44.5	23.0	98.5	29.0	25.0	16.0	40.0	26.0	23.0	18.0	26.0	22.0	45.0
