"","Genus","Present in Bewell?","Present in Mimic?","Present in Both?"
"119","Tyzzerella","Y","Y","Y"
"120","Veillonella","Y","Y","Y"
"121","Victivallis","Y","Y","Y"
"122","1174-901-12","N","Y","N"
"123","1921-2","N","Y","N"
"124","1921-3","N","Y","N"
"125","2013Ark19i","N","Y","N"
"126","28-4","N","Y","N"
"127","966-1","N","Y","N"
"128","A2","N","Y","N"
"129","Absidia","N","Y","N"
"130","Acaricomes","N","Y","N"
"131","Acetanaerobacterium","N","Y","N"
"132","Acetatifactor","N","Y","N"
"133","Acetitomaculum","N","Y","N"
"134","Acetivibrio","N","Y","N"
"135","Acetobacterium","N","Y","N"
"136","Acetonema","N","Y","N"
"137","Acholeplasma","N","Y","N"
"138","Achromobacter","N","Y","N"
"139","Acidibacter","N","Y","N"
"140","Acidicaldus","N","Y","N"
"141","Acidipila","N","Y","N"
"142","Acidipropionibacterium","N","Y","N"
"143","Acidothermus","N","Y","N"
"144","Acinetobacter","N","Y","N"
"145","Acrocarpospora","N","Y","N"
"146","Actinoallomurus","N","Y","N"
"147","Actinoalloteichus","N","Y","N"
"148","Actinocatenispora","N","Y","N"
"149","Actinocorallia","N","Y","N"
"150","Actinomadura","N","Y","N"
"152","Actinomycetospora","N","Y","N"
"153","Actinoplanes","N","Y","N"
"154","Actinotalea","N","Y","N"
"155","Acuticoccus","N","Y","N"
"157","ADurb.Bin063-1","N","Y","N"
"158","Aeribacillus","N","Y","N"
"159","Aerococcus","N","Y","N"
"160","Aeromicrobium","N","Y","N"
"161","Aerosphaera","N","Y","N"
"162","Aetherobacter","N","Y","N"
"163","Agaricicola","N","Y","N"
"164","Agathobacter","N","Y","N"
"165","Aggregicoccus","N","Y","N"
"166","Agromyces","N","Y","N"
"168","Albimonas","N","Y","N"
"169","Albirhodobacter","N","Y","N"
"170","Algoriella","N","Y","N"
"171","Algoriphagus","N","Y","N"
"172","Alicyclobacillus","N","Y","N"
"173","Aliicoccus","N","Y","N"
"174","Aliihoeflea","N","Y","N"
"175","Alishewanella","N","Y","N"
"177","Aliterella_CENA595","N","Y","N"
"178","Alkalibacterium","N","Y","N"
"179","Alkalibaculum","N","Y","N"
"180","Alkaliphilus","N","Y","N"
"181","Allobaculum","N","Y","N"
"182","Allochromatium","N","Y","N"
"183","Allofustis","N","Y","N"
"184","Alloprevotella","N","Y","N"
"185","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","N","Y","N"
"186","Alloscardovia","N","Y","N"
"187","Allostreptomyces","N","Y","N"
"188","alphaI_cluster","N","Y","N"
"189","Alsobacter","N","Y","N"
"190","Altererythrobacter","N","Y","N"
"191","Alteribacillus","N","Y","N"
"192","Amaricoccus","N","Y","N"
"193","Aminobacter","N","Y","N"
"194","Ammoniibacillus","N","Y","N"
"195","Ammoniphilus","N","Y","N"
"196","Amnibacterium","N","Y","N"
"197","Amphibacillus","N","Y","N"
"198","Anaerobacillus","N","Y","N"
"199","Anaerobacterium","N","Y","N"
"200","Anaerobium","N","Y","N"
"201","Anaerobranca","N","Y","N"
"203","Anaerocolumna","N","Y","N"
"204","Anaerofilum","N","Y","N"
"205","Anaerofustis","N","Y","N"
"206","Anaeromyxobacter","N","Y","N"
"207","Anaeroplasma","N","Y","N"
"208","Anaerosalibacter","N","Y","N"
"209","Anaerosinus","N","Y","N"
"210","Anaerosolibacter","N","Y","N"
"211","Anaerosphaera","N","Y","N"
"212","Anaerospora","N","Y","N"
"213","Anaerosporobacter","N","Y","N"
"216","Anaerovorax","N","Y","N"
"217","Ancylobacter","N","Y","N"
"218","Anderseniella","N","Y","N"
"219","Aneurinibacillus","N","Y","N"
"220","Angelakisella","N","Y","N"
"221","Annamia_HOs24","N","Y","N"
"222","Anoxybacillus","N","Y","N"
"223","Anthococcus","N","Y","N"
"224","Aquabacterium","N","Y","N"
"225","Aquamicrobium","N","Y","N"
"226","Aquicella","N","Y","N"
"227","Arenimonas","N","Y","N"
"228","Arsenicicoccus","N","Y","N"
"229","Arsenicitalea","N","Y","N"
"230","Arthrobacter","N","Y","N"
"231","Asaccharospora","N","Y","N"
"232","Asanoa","N","Y","N"
"233","Ascidiaceihabitans","N","Y","N"
"234","ASF356","N","Y","N"
"235","Asticcacaulis","N","Y","N"
"236","ATCC-39006","N","Y","N"
"237","Atlantibacter","N","Y","N"
"238","Atopobacter","N","Y","N"
"239","Atopobium","N","Y","N"
"240","Atopostipes","N","Y","N"
"241","Aurantimonas","N","Y","N"
"242","Aureimonas","N","Y","N"
"243","Azospirillum","N","Y","N"
"244","Bacillus","N","Y","N"
"245","Bacteriovorax","N","Y","N"
"247","Ballistosporomyces","N","Y","N"
"249","Bauldia","N","Y","N"
"250","Bdellovibrio","N","Y","N"
"251","Belnapia","N","Y","N"
"252","Bhargavaea","N","Y","N"
"255","Blastocatella","N","Y","N"
"256","Blastococcus","N","Y","N"
"257","Blastopirellula","N","Y","N"
"259","Bosea","N","Y","N"
"260","Bounagaea","N","Y","N"
"261","Brachybacterium","N","Y","N"
"262","Bradyrhizobium","N","Y","N"
"263","Brevibacillus","N","Y","N"
"264","Brevibacterium","N","Y","N"
"265","Brevundimonas","N","Y","N"
"266","Breznakia","N","Y","N"
"267","Brochothrix","N","Y","N"
"268","Brucella","N","Y","N"
"269","Bryobacter","N","Y","N"
"270","Bullera","N","Y","N"
"271","Burkholderia-Caballeronia-Paraburkholderia","N","Y","N"
"274","Bythopirellula","N","Y","N"
"275","CAG-352","N","Y","N"
"276","CAG-56","N","Y","N"
"277","CAG-873","N","Y","N"
"278","Caldalkalibacillus","N","Y","N"
"279","Caldibacillus","N","Y","N"
"280","Caldicellulosiruptor","N","Y","N"
"281","Caldicoprobacter","N","Y","N"
"282","Calditerricola","N","Y","N"
"283","Caloramator","N","Y","N"
"284","Calorithrix","N","Y","N"
"285","Calothrix_PCC-6303","N","Y","N"
"286","Camelimonas","N","Y","N"
"287","Candida-Lodderomyces_clade","N","Y","N"
"288","Candidatus_Actinomarina","N","Y","N"
"289","Candidatus_Alysiosphaera","N","Y","N"
"290","Candidatus_Amoebophilus","N","Y","N"
"291","Candidatus_Anammoximicrobium","N","Y","N"
"292","Candidatus_Arthromitus","N","Y","N"
"293","Candidatus_Bacilloplasma","N","Y","N"
"294","Candidatus_Koribacter","N","Y","N"
"295","Candidatus_Lumbricincola","N","Y","N"
"296","Candidatus_Megaira","N","Y","N"
"297","Candidatus_Nitrocosmicus","N","Y","N"
"298","Candidatus_Nitrosopelagicus","N","Y","N"
"299","Candidatus_Nitrosopumilus","N","Y","N"
"300","Candidatus_Nitrososphaera","N","Y","N"
"301","Candidatus_Phytoplasma","N","Y","N"
"302","Candidatus_Protochlamydia","N","Y","N"
"303","Candidatus_Puniceispirillum","N","Y","N"
"304","Candidatus_Rhabdochlamydia","N","Y","N"
"305","Candidatus_Soleaferrea","N","Y","N"
"306","Candidatus_Solibacter","N","Y","N"
"308","Candidatus_Thiosymbion","N","Y","N"
"309","Candidatus_Udaeobacter","N","Y","N"
"310","Candidatus_Xiphinematobacter","N","Y","N"
"311","Caproiciproducens","N","Y","N"
"312","Carnobacterium","N","Y","N"
"313","Caryophanon","N","Y","N"
"314","Catabacter","N","Y","N"
"315","Catellatospora","N","Y","N"
"316","Catellicoccus","N","Y","N"
"317","Catenococcus","N","Y","N"
"318","Catenuloplanes","N","Y","N"
"319","Caulobacter","N","Y","N"
"320","Caviibacter","N","Y","N"
"321","Cellulomonas","N","Y","N"
"322","Cellulosibacter","N","Y","N"
"323","Cellulosilyticum","N","Y","N"
"324","Cellulosimicrobium","N","Y","N"
"325","Cellvibrio","N","Y","N"
"326","Cerasibacillus","N","Y","N"
"327","Cereibacter","N","Y","N"
"328","Cetobacterium","N","Y","N"
"329","Chelativorans","N","Y","N"
"330","Chelatococcus","N","Y","N"
"331","Chitinophaga","N","Y","N"
"332","CHKCI002","N","Y","N"
"334","Christensenellaceae_R-7_group","N","Y","N"
"335","Chroococcidiopsis_PCC_7203","N","Y","N"
"336","Chroococcidiopsis_SAG_2023","N","Y","N"
"337","Chryseobacterium","N","Y","N"
"338","Chthoniobacter","N","Y","N"
"339","Chungangia","N","Y","N"
"340","Citricoccus","N","Y","N"
"341","Clade_Ia","N","Y","N"
"342","Clavibacter","N","Y","N"
"344","Cloacibacterium","N","Y","N"
"345","Clostridioides","N","Y","N"
"346","Clostridium_sensu_stricto_1","N","Y","N"
"347","Clostridium_sensu_stricto_10","N","Y","N"
"348","Clostridium_sensu_stricto_11","N","Y","N"
"349","Clostridium_sensu_stricto_12","N","Y","N"
"350","Clostridium_sensu_stricto_13","N","Y","N"
"351","Clostridium_sensu_stricto_14","N","Y","N"
"352","Clostridium_sensu_stricto_15","N","Y","N"
"353","Clostridium_sensu_stricto_16","N","Y","N"
"354","Clostridium_sensu_stricto_18","N","Y","N"
"355","Clostridium_sensu_stricto_19","N","Y","N"
"356","Clostridium_sensu_stricto_2","N","Y","N"
"357","Clostridium_sensu_stricto_3","N","Y","N"
"358","Clostridium_sensu_stricto_4","N","Y","N"
"359","Clostridium_sensu_stricto_5","N","Y","N"
"360","Clostridium_sensu_stricto_6","N","Y","N"
"361","Clostridium_sensu_stricto_7","N","Y","N"
"362","Clostridium_sensu_stricto_8","N","Y","N"
"363","Clostridium_sensu_stricto_9","N","Y","N"
"364","Cnuella","N","Y","N"
"365","Cobetia","N","Y","N"
"366","Cohnella","N","Y","N"
"368","Conexibacter","N","Y","N"
"371","Coprococcus_1","N","Y","N"
"372","Coprococcus_3","N","Y","N"
"373","Corallococcus","N","Y","N"
"374","Coriobacteriaceae_UCG-002","N","Y","N"
"375","Corynebacterium","N","Y","N"
"376","Corynebacterium_1","N","Y","N"
"377","Coxiella","N","Y","N"
"378","Craurococcus","N","Y","N"
"379","Cronobacter","N","Y","N"
"380","Crossiella","N","Y","N"
"381","Cryobacterium","N","Y","N"
"382","Cryptosporangium","N","Y","N"
"383","Cuneatibacter","N","Y","N"
"384","Cupriavidus","N","Y","N"
"385","Curtobacterium","N","Y","N"
"386","Cyanobacterium_CLg1","N","Y","N"
"387","Cyanobium_PCC-6307","N","Y","N"
"388","Cystobacter","N","Y","N"
"389","Dapisostemonum_CCIBt_3536","N","Y","N"
"390","Defluviicoccus","N","Y","N"
"391","Defluviitalea","N","Y","N"
"392","Defluviitaleaceae_UCG-011","N","Y","N"
"393","Deinococcus","N","Y","N"
"394","Delftia","N","Y","N"
"395","Demequina","N","Y","N"
"396","Demetria","N","Y","N"
"397","Denitrobacterium","N","Y","N"
"398","Dermacoccus","N","Y","N"
"399","Desemzia","N","Y","N"
"400","Desulfatitalea","N","Y","N"
"401","Desulfitibacter","N","Y","N"
"402","Desulfitobacterium","N","Y","N"
"403","Desulfobacca","N","Y","N"
"404","Desulfobulbus","N","Y","N"
"405","Desulfofustis","N","Y","N"
"406","Desulfomonile","N","Y","N"
"407","Desulfonispora","N","Y","N"
"408","Desulfopila","N","Y","N"
"409","Desulfosporosinus","N","Y","N"
"410","Desulfotomaculum","N","Y","N"
"412","Desulfovirga","N","Y","N"
"413","Desulfuribacillus","N","Y","N"
"414","Desulfurispora","N","Y","N"
"415","Devosia","N","Y","N"
"418","Dietzia","N","Y","N"
"419","Dinghuibacter","N","Y","N"
"420","Dioszegia","N","Y","N"
"421","Diplorickettsia","N","Y","N"
"422","DMER64","N","Y","N"
"423","DNF00809","N","Y","N"
"424","Domibacillus","N","Y","N"
"425","Dongia","N","Y","N"
"427","DSSF69","N","Y","N"
"428","DTU089","N","Y","N"
"429","Dubosiella","N","Y","N"
"430","Duganella","N","Y","N"
"431","Dyadobacter","N","Y","N"
"432","Dyella","N","Y","N"
"433","Dysgonomonas","N","Y","N"
"434","Edaphobacter","N","Y","N"
"435","Effusibacillus","N","Y","N"
"437","Egicoccus","N","Y","N"
"439","Ellin6055","N","Y","N"
"440","Ellin6067","N","Y","N"
"441","endosymbionts8","N","Y","N"
"442","Enhydrobacter","N","Y","N"
"443","Ensifer","N","Y","N"
"444","Enteractinococcus","N","Y","N"
"445","Enterobacter","N","Y","N"
"448","Epulopiscium","N","Y","N"
"449","Erwinia","N","Y","N"
"451","Erysipelothrix","N","Y","N"
"452","Erysipelotrichaceae_UCG-002","N","Y","N"
"453","Erysipelotrichaceae_UCG-003","N","Y","N"
"454","Escherichia/Shigella","N","Y","N"
"455","Ethanoligenens","N","Y","N"
"457","Euzebya","N","Y","N"
