"","Genus","Present in Bewell?","Present in Mimic?","Present in Both?"
"628","g_unclassified_f_unclassified_o_unclassified_Gammaproteobacteria","N","Y","N"
"629","g_unclassified_f_unclassified_o_unclassified_Gitt-GS-136","N","Y","N"
"630","g_unclassified_f_unclassified_o_unclassified_JG30-KF-CM66","N","Y","N"
"631","g_unclassified_f_unclassified_o_unclassified_KD4-96","N","Y","N"
"632","g_unclassified_f_unclassified_o_unclassified_LD1-PA32","N","Y","N"
"633","g_unclassified_f_unclassified_o_unclassified_Lineage_IIa","N","Y","N"
"634","g_unclassified_f_unclassified_o_unclassified_Mammalia","N","Y","N"
"635","g_unclassified_f_unclassified_o_unclassified_MB-A2-108","N","Y","N"
"636","g_unclassified_f_unclassified_o_unclassified_Mollicutes","N","Y","N"
"637","g_unclassified_f_unclassified_o_unclassified_OM190","N","Y","N"
"638","g_unclassified_f_unclassified_o_unclassified_Oxyphotobacteria","N","Y","N"
"639","g_unclassified_f_unclassified_o_unclassified_Parcubacteria","N","Y","N"
"640","g_unclassified_f_unclassified_o_unclassified_Pla4_lineage","N","Y","N"
"641","g_unclassified_f_unclassified_o_unclassified_Planctomycetacia","N","Y","N"
"642","g_unclassified_f_unclassified_o_unclassified_RBG-16-55-12","N","Y","N"
"643","g_unclassified_f_unclassified_o_unclassified_S0134_terrestrial_group","N","Y","N"
"644","g_unclassified_f_unclassified_o_unclassified_Sericytochromatia","N","Y","N"
"645","g_unclassified_f_unclassified_o_unclassified_Subgroup_17","N","Y","N"
"646","g_unclassified_f_unclassified_o_unclassified_Subgroup_22","N","Y","N"
"647","g_unclassified_f_unclassified_o_unclassified_Subgroup_6","N","Y","N"
"648","g_unclassified_f_unclassified_o_unclassified_Subgroup_9","N","Y","N"
"649","g_unclassified_f_unclassified_o_unclassified_Thermoleophilia","N","Y","N"
"650","g_unclassified_f_unclassified_o_unclassified_TK10","N","Y","N"
"651","g_unclassified_f_unclassified_o_unclassified_Verrucomicrobiae","N","Y","N"
"652","g_unclassified_f_unclassified_o_unclassified_WCHB1-81","N","Y","N"
"653","g_unclassified_f_unclassified_o_unclassified_WWE3","N","Y","N"
"654","g_unclassified_f_unclassified_OPB41","N","Y","N"
"655","g_unclassified_f_unclassified_PeM15","N","Y","N"
"656","g_unclassified_f_unclassified_Planctomycetales","N","Y","N"
"657","g_unclassified_f_unclassified_PLTA13","N","Y","N"
"658","g_unclassified_f_unclassified_Propionibacteriales","N","Y","N"
"659","g_unclassified_f_unclassified_R7C24","N","Y","N"
"660","g_unclassified_f_unclassified_RCP2-54","N","Y","N"
"661","g_unclassified_f_unclassified_Rhizobiales","N","Y","N"
"662","g_unclassified_f_unclassified_Rhodospirillales","N","Y","N"
"663","g_unclassified_f_unclassified_Rickettsiales","N","Y","N"
"664","g_unclassified_f_unclassified_Rokubacteriales","N","Y","N"
"665","g_unclassified_f_unclassified_S085","N","Y","N"
"666","g_unclassified_f_unclassified_Saccharimonadales","N","Y","N"
"667","g_unclassified_f_unclassified_SAR324_clade(Marine_group_B)","N","Y","N"
"668","g_unclassified_f_unclassified_SAR86_clade","N","Y","N"
"669","g_unclassified_f_unclassified_SBR1031","N","Y","N"
"670","g_unclassified_f_unclassified_Selenomonadales","N","Y","N"
"671","g_unclassified_f_unclassified_SJA-15","N","Y","N"
"672","g_unclassified_f_unclassified_Solirubrobacterales","N","Y","N"
"673","g_unclassified_f_unclassified_Subgroup_2","N","Y","N"
"674","g_unclassified_f_unclassified_Subgroup_7","N","Y","N"
"675","g_unclassified_f_unclassified_Sva0485","N","Y","N"
"676","g_unclassified_f_unclassified_SZB30","N","Y","N"
"677","g_unclassified_f_unclassified_TDNP-Wbc97-11-7-16","N","Y","N"
"678","g_unclassified_f_unclassified_Tremellales","N","Y","N"
"679","g_unclassified_f_unclassified_Vampirovibrionales","N","Y","N"
"680","g_unclassified_f_unclassified_Verrucomicrobiales","N","Y","N"
"681","g_unclassified_f_unclassified_WCHB1-41","N","Y","N"
"682","g_unclassified_f_unclassified_WD260","N","Y","N"
"683","g_unclassified_Family_III","N","Y","N"
"684","g_unclassified_Family_XI","N","Y","N"
"685","g_unclassified_Family_XIII","N","Y","N"
"686","g_unclassified_Family_XIV","N","Y","N"
"687","g_unclassified_Family_XVIII","N","Y","N"
"688","g_unclassified_Filobasidiaceae","N","Y","N"
"689","g_unclassified_Fimbriimonadaceae","N","Y","N"
"690","g_unclassified_Fodinicurvataceae","N","Y","N"
"691","g_unclassified_Geminicoccaceae","N","Y","N"
"692","g_unclassified_Gemmataceae","N","Y","N"
"693","g_unclassified_Gemmatimonadaceae","N","Y","N"
"694","g_unclassified_Gimesiaceae","N","Y","N"
"695","g_unclassified_Glycomycetaceae","N","Y","N"
"696","g_unclassified_Gracilibacteraceae","N","Y","N"
"697","g_unclassified_Halieaceae","N","Y","N"
"698","g_unclassified_Haloferacaceae","N","Y","N"
"699","g_unclassified_Heliobacteriaceae","N","Y","N"
"700","g_unclassified_Holosporaceae","N","Y","N"
"701","g_unclassified_Hyphomonadaceae","N","Y","N"
"702","g_unclassified_Ilumatobacteraceae","N","Y","N"
"703","g_unclassified_Intrasporangiaceae","N","Y","N"
"704","g_unclassified_Isosphaeraceae","N","Y","N"
"705","g_unclassified_JG30-KF-AS9","N","Y","N"
"706","g_unclassified_JG30-KF-CM45","N","Y","N"
"707","g_unclassified_KF-JG30-B3","N","Y","N"
"708","g_unclassified_Kineosporiaceae","N","Y","N"
"709","g_unclassified_Ktedonobacteraceae","N","Y","N"
"710","g_unclassified_Lachnospiraceae","N","Y","N"
"711","g_unclassified_Lactobacillaceae","N","Y","N"
"712","g_unclassified_Leptolyngbyaceae","N","Y","N"
"713","g_unclassified_Leuconostocaceae","N","Y","N"
"714","g_unclassified_Lichtheimiaceae","N","Y","N"
"715","g_unclassified_Limnochordaceae","N","Y","N"
"716","g_unclassified_Longimicrobiaceae","N","Y","N"
"717","g_unclassified_Magnetospirillaceae","N","Y","N"
"718","g_unclassified_Methylacidiphilaceae","N","Y","N"
"719","g_unclassified_Methyloligellaceae","N","Y","N"
"720","g_unclassified_Methylopilaceae","N","Y","N"
"721","g_unclassified_Microbacteriaceae","N","Y","N"
"722","g_unclassified_Micrococcaceae","N","Y","N"
"723","g_unclassified_Microcystaceae","N","Y","N"
"724","g_unclassified_Micromonosporaceae","N","Y","N"
"725","g_unclassified_Micropepsaceae","N","Y","N"
"726","g_unclassified_Microscillaceae","N","Y","N"
"727","g_unclassified_Microtrichaceae","N","Y","N"
"728","g_unclassified_Mitochondria","N","Y","N"
"729","g_unclassified_mle1-27","N","Y","N"
"730","g_unclassified_Moduliflexaceae","N","Y","N"
"731","g_unclassified_Moraxellaceae","N","Y","N"
"732","g_unclassified_MSB-4B10","N","Y","N"
"733","g_unclassified_Muribaculaceae","N","Y","N"
"734","g_unclassified_Mycobacteriaceae","N","Y","N"
"735","g_unclassified_Myxococcaceae","N","Y","N"
"736","g_unclassified_Neisseriaceae","N","Y","N"
"737","g_unclassified_Nitrososphaeraceae","N","Y","N"
"738","g_unclassified_Nocardiaceae","N","Y","N"
"739","g_unclassified_Nocardioidaceae","N","Y","N"
"740","g_unclassified_Nocardiopsaceae","N","Y","N"
"741","g_unclassified_NS7_marine_group","N","Y","N"
"742","g_unclassified_NS9_marine_group","N","Y","N"
"743","g_unclassified_Oligoflexaceae","N","Y","N"
"744","g_unclassified_p-251-o5","N","Y","N"
"745","g_unclassified_P3OB-42","N","Y","N"
"746","g_unclassified_Paenibacillaceae","N","Y","N"
"747","g_unclassified_Paludibacteraceae","N","Y","N"
"748","g_unclassified_Paracaedibacteraceae","N","Y","N"
"749","g_unclassified_Parachlamydiaceae","N","Y","N"
"750","g_unclassified_Pedosphaeraceae","N","Y","N"
"751","g_unclassified_Peptococcaceae","N","Y","N"
"752","g_unclassified_Peptostreptococcaceae","N","Y","N"
"753","g_unclassified_Pirellulaceae","N","Y","N"
"754","g_unclassified_Planococcaceae","N","Y","N"
"755","g_unclassified_Polyangiaceae","N","Y","N"
"756","g_unclassified_Porphyromonadaceae","N","Y","N"
"757","g_unclassified_possible_family_01","N","Y","N"
"758","g_unclassified_Prevotellaceae","N","Y","N"
"759","g_unclassified_Promicromonosporaceae","N","Y","N"
"760","g_unclassified_Propionibacteriaceae","N","Y","N"
"761","g_unclassified_Pseudomonadaceae","N","Y","N"
"762","g_unclassified_Pseudonocardiaceae","N","Y","N"
"763","g_unclassified_Rhizobiaceae","N","Y","N"
"764","g_unclassified_Rhizobiales_Incertae_Sedis","N","Y","N"
"765","g_unclassified_Rhodanobacteraceae","N","Y","N"
"766","g_unclassified_Rhodobacteraceae","N","Y","N"
"767","g_unclassified_Rhodospirillaceae","N","Y","N"
"768","g_unclassified_Rhodothermaceae","N","Y","N"
"769","g_unclassified_Rickettsiaceae","N","Y","N"
"770","g_unclassified_Rikenellaceae","N","Y","N"
"771","g_unclassified_Rubinisphaeraceae","N","Y","N"
"772","g_unclassified_Ruminococcaceae","N","Y","N"
"773","g_unclassified_Saccharimonadaceae","N","Y","N"
"774","g_unclassified_Sandaracinaceae","N","Y","N"
"775","g_unclassified_SAR116_clade","N","Y","N"
"776","g_unclassified_Simkaniaceae","N","Y","N"
"777","g_unclassified_SM2D12","N","Y","N"
"778","g_unclassified_Solirubrobacteraceae","N","Y","N"
"779","g_unclassified_Sphingobacteriaceae","N","Y","N"
"780","g_unclassified_Sphingomonadaceae","N","Y","N"
"781","g_unclassified_Spirosomaceae","N","Y","N"
"782","g_unclassified_Sporichthyaceae","N","Y","N"
"783","g_unclassified_Sporolactobacillaceae","N","Y","N"
"784","g_unclassified_SRB2","N","Y","N"
"785","g_unclassified_Staphylococcaceae","N","Y","N"
"786","g_unclassified_Steroidobacteraceae","N","Y","N"
"787","g_unclassified_Streptococcaceae","N","Y","N"
"788","g_unclassified_Streptomycetaceae","N","Y","N"
"789","g_unclassified_Streptosporangiaceae","N","Y","N"
"790","g_unclassified_Syntrophobacteraceae","N","Y","N"
"791","g_unclassified_Syntrophomonadaceae","N","Y","N"
"792","g_unclassified_Tannerellaceae","N","Y","N"
"793","g_unclassified_Thermoactinomycetaceae","N","Y","N"
"794","g_unclassified_Thermomonosporaceae","N","Y","N"
"795","g_unclassified_URHD0088","N","Y","N"
"796","g_unclassified_Veillonellaceae","N","Y","N"
"797","g_unclassified_Vermiphilaceae","N","Y","N"
"798","g_unclassified_Verrucomicrobiaceae","N","Y","N"
"799","g_unclassified_WD2101_soil_group","N","Y","N"
"800","g_unclassified_Xanthobacteraceae","N","Y","N"
"801","g_unclassified_Xanthomonadaceae","N","Y","N"
"802","Gaiella","N","Y","N"
"803","Galbitalea","N","Y","N"
"804","Gallicola","N","Y","N"
"805","Gallionella","N","Y","N"
"806","Garciella","N","Y","N"
"807","Gardnerella","N","Y","N"
"808","Garicola","N","Y","N"
"809","GCA-900066225","N","Y","N"
"810","GCA-900066575","N","Y","N"
"811","GCA-900066755","N","Y","N"
"812","Geminicoccus","N","Y","N"
"813","Gemmata","N","Y","N"
"814","Gemmatirosa","N","Y","N"
"815","Gemmobacter","N","Y","N"
"816","Geobacillus","N","Y","N"
"817","Geobacter","N","Y","N"
"818","Geodermatophilus","N","Y","N"
"819","Geomicrobium","N","Y","N"
"820","Georgenia","N","Y","N"
"821","Gimesia","N","Y","N"
"822","Globicatella","N","Y","N"
"823","Gluconobacter","N","Y","N"
"824","Glutamicibacter","N","Y","N"
"825","Glycomyces","N","Y","N"
"826","Gordonia","N","Y","N"
"828","Gottschalkia","N","Y","N"
"829","Gracilibacillus","N","Y","N"
"830","Gracilibacter","N","Y","N"
"831","Granulicella","N","Y","N"
"832","Gulosibacter","N","Y","N"
"833","Haematomicrobium","N","Y","N"
"835","Haliangium","N","Y","N"
"836","Haloactinobacterium","N","Y","N"
"837","Haloactinopolyspora","N","Y","N"
"838","Halobacillus","N","Y","N"
"839","Halocella","N","Y","N"
"840","Halochromatium","N","Y","N"
"841","Halomonas","N","Y","N"
"842","Haloplasma","N","Y","N"
"843","Hannaella","N","Y","N"
"845","Hathewaya","N","Y","N"
"846","Hazenella","N","Y","N"
"847","Helcobacillus","N","Y","N"
"848","Helcococcus","N","Y","N"
"849","Herbiconiux","N","Y","N"
"850","Herbidospora","N","Y","N"
"851","Herbinix","N","Y","N"
"852","Herminiimonas","N","Y","N"
"853","Hespellia","N","Y","N"
"854","Hirschia","N","Y","N"
"856","Holtermanniella","N","Y","N"
"857","Howardella","N","Y","N"
"858","Humibacter","N","Y","N"
"859","Humitalea","N","Y","N"
"861","Hydrogenibacillus","N","Y","N"
"862","Hydrogenispora","N","Y","N"
"863","Hydrogenoanaerobacterium","N","Y","N"
"864","Hydrogenophaga","N","Y","N"
"865","Hymenobacter","N","Y","N"
"866","Hyphomicrobium","N","Y","N"
"867","Iamia","N","Y","N"
"868","Ignatzschineria","N","Y","N"
"869","Ignavigranum","N","Y","N"
"870","Ileibacterium","N","Y","N"
"871","Ilumatobacter","N","Y","N"
"872","IMCC26207","N","Y","N"
"873","Imtechella","N","Y","N"
"874","Incertae_Sedis","N","Y","N"
"875","Inquilinus","N","Y","N"
"878","Intrasporangium","N","Y","N"
"879","Isobaculum","N","Y","N"
"880","Isoptericola","N","Y","N"
"881","Janibacter","N","Y","N"
"882","Janthinobacterium","N","Y","N"
"883","Jatrophihabitans","N","Y","N"
"884","JCM_18997","N","Y","N"
"885","Jeotgalibaca","N","Y","N"
"886","Jeotgalibacillus","N","Y","N"
"887","Jeotgalicoccus","N","Y","N"
"888","JGI_0001001-H03","N","Y","N"
"889","Jonesia","N","Y","N"
"890","Kaistia","N","Y","N"
"891","Kandleria","N","Y","N"
"892","Kineococcus","N","Y","N"
"893","Kineosphaera","N","Y","N"
"894","Kineosporia","N","Y","N"
"896","Knoellia","N","Y","N"
"897","Kocuria","N","Y","N"
"898","Kondoa","N","Y","N"
"899","Kosakonia","N","Y","N"
"900","Kribbella","N","Y","N"
"901","Kroppenstedtia","N","Y","N"
"902","Kurthia","N","Y","N"
"903","Kyrpidia","N","Y","N"
"904","Labrenzia","N","Y","N"
"905","Laceyella","N","Y","N"
"907","Lachnoclostridium_10","N","Y","N"
"908","Lachnoclostridium_12","N","Y","N"
"909","Lachnoclostridium_5","N","Y","N"
"911","Lachnospiraceae_FCS020_group","N","Y","N"
"912","Lachnospiraceae_FE2018_group","N","Y","N"
"913","Lachnospiraceae_NC2004_group","N","Y","N"
"914","Lachnospiraceae_ND3007_group","N","Y","N"
"915","Lachnospiraceae_NK3A20_group","N","Y","N"
"916","Lachnospiraceae_NK4A136_group","N","Y","N"
"917","Lachnospiraceae_NK4B4_group","N","Y","N"
"918","Lachnospiraceae_UCG-001","N","Y","N"
"919","Lachnospiraceae_UCG-004","N","Y","N"
"920","Lachnospiraceae_UCG-006","N","Y","N"
"921","Lachnospiraceae_UCG-007","N","Y","N"
"922","Lachnospiraceae_UCG-008","N","Y","N"
"923","Lachnospiraceae_UCG-009","N","Y","N"
"924","Lachnospiraceae_UCG-010","N","Y","N"
"928","Lapillicoccus","N","Y","N"
"929","Larkinella","N","Y","N"
"930","Lautropia","N","Y","N"
"932","LD29","N","Y","N"
"933","Lechevalieria","N","Y","N"
"934","Legionella","N","Y","N"
"935","Leifsonia","N","Y","N"
"936","Leptolyngbya_PCC-6306","N","Y","N"
"937","Leucobacter","N","Y","N"
"938","Leuconostoc","N","Y","N"
"939","Lichtheimia","N","Y","N"
"940","Limnochorda","N","Y","N"
"941","Limnohabitans","N","Y","N"
"942","Listeria","N","Y","N"
"943","Litoricola","N","Y","N"
"944","Longispora","N","Y","N"
"945","Luedemannella","N","Y","N"
"946","Luminiphilus","N","Y","N"
"947","Luteibacter","N","Y","N"
"948","Luteimicrobium","N","Y","N"
"949","Luteimonas","N","Y","N"
"950","Luteolibacter","N","Y","N"
"951","Lutispora","N","Y","N"
"952","Lysinibacillus","N","Y","N"
"953","Lysobacter","N","Y","N"
"954","Macrococcus","N","Y","N"
"955","Marinimicrobium","N","Y","N"
"956","Marinococcus","N","Y","N"
"957","Marmoricola","N","Y","N"
"959","Massilia","N","Y","N"
"962","Melghirimyces","N","Y","N"
"963","Melissococcus","N","Y","N"
"964","Merdibacter","N","Y","N"
"965","Mesorhizobium","N","Y","N"
"966","Methanobacterium","N","Y","N"
"970","Methylobacterium","N","Y","N"
"971","Methylocaldum","N","Y","N"
"972","Methyloceanibacter","N","Y","N"
"973","Methylocella","N","Y","N"
"974","Methylocystis","N","Y","N"
"975","Methyloparacoccus","N","Y","N"
"976","Methylophilus","N","Y","N"
"977","Methylopila","N","Y","N"
"978","Methylorosula","N","Y","N"
"979","Methylotenera","N","Y","N"
"980","Microbacterium","N","Y","N"
"981","Microbispora","N","Y","N"
"982","Microbulbifer","N","Y","N"
"983","Micrococcus","N","Y","N"
"984","Micromonospora","N","Y","N"
"985","Microvirga","N","Y","N"
"986","Millisia","N","Y","N"
"987","Mobilicoccus","N","Y","N"
"988","Mobilitalea","N","Y","N"
"989","Modestobacter","N","Y","N"
"990","Mogibacterium","N","Y","N"
"991","Moheibacter","N","Y","N"
"992","Moraxella","N","Y","N"
"993","Morganella","N","Y","N"
"994","Mucilaginibacter","N","Y","N"
"995","Mucinivorans","N","Y","N"
"996","Mucor","N","Y","N"
"997","Muribaculum","N","Y","N"
"998","Mycobacterium","N","Y","N"
"999","Mycoplana","N","Y","N"
"1000","Mycoplasma","N","Y","N"
"1001","Myroides","N","Y","N"
"1002","Myxococcus","N","Y","N"
"1003","Naganishia","N","Y","N"
"1004","Nakamurella","N","Y","N"
"1005","Nannocystis","N","Y","N"
"1006","Natranaerovirga","N","Y","N"
"1007","Natronincola","N","Y","N"
"1008","Negativibacillus","N","Y","N"
"1009","Neisseria","N","Y","N"
"1010","Neo-b11","N","Y","N"
"1011","Neochlamydia","N","Y","N"
"1012","Neorhizobium","N","Y","N"
"1013","Neoscardovia","N","Y","N"
"1014","Nesterenkonia","N","Y","N"
"1015","Nevskia","N","Y","N"
"1016","Nitrincola","N","Y","N"
"1017","Nitrospira","N","Y","N"
"1018","Nocardia","N","Y","N"
"1019","Nocardioides","N","Y","N"
"1020","Nocardiopsis","N","Y","N"
"1021","Nodularia_PCC-9350","N","Y","N"
"1022","Nonomuraea","N","Y","N"
"1023","Nordella","N","Y","N"
"1024","Nosocomiicoccus","N","Y","N"
"1025","Nostoc_PCC-7524","N","Y","N"
"1026","Novibacillus","N","Y","N"
"1027","Noviherbaspirillum","N","Y","N"
"1028","Novosphingobium","N","Y","N"
"1029","NS4_marine_group","N","Y","N"
"1030","NS5_marine_group","N","Y","N"
"1031","Occallatibacter","N","Y","N"
"1032","Oceanivirga","N","Y","N"
"1033","Oceanobacillus","N","Y","N"
"1034","Ochrobactrum","N","Y","N"
"1036","Oerskovia","N","Y","N"
"1037","OLB12","N","Y","N"
"1038","Oleispira","N","Y","N"
"1039","Oligoflexus","N","Y","N"
"1040","Oligotropha","N","Y","N"
"1041","Olsenella","N","Y","N"
"1042","OM27_clade","N","Y","N"
"1043","OM60(NOR5)_clade","N","Y","N"
"1044","OM75_clade","N","Y","N"
"1045","Opitutus","N","Y","N"
"1046","Ornithinibacillus","N","Y","N"
"1047","Ornithinibacter","N","Y","N"
"1048","Ornithinicoccus","N","Y","N"
"1049","Ornithinimicrobium","N","Y","N"
"1051","Oscillospira","N","Y","N"
"1052","Oxalicibacterium","N","Y","N"
"1054","Oxobacter","N","Y","N"
"1055","Paenarthrobacter","N","Y","N"
"1056","Paenibacillus","N","Y","N"
"1057","Paeniclostridium","N","Y","N"
"1058","Paeniglutamicibacter","N","Y","N"
"1059","Paenisporosarcina","N","Y","N"
"1060","Paenochrobactrum","N","Y","N"
"1061","Pajaroellobacter","N","Y","N"
"1062","Paludibacter","N","Y","N"
"1063","Paludibaculum","N","Y","N"
"1064","Paludisphaera","N","Y","N"
"1065","Papiliotrema","N","Y","N"
"1066","Papillibacter","N","Y","N"
"1068","Paraclostridium","N","Y","N"
"1069","Paracoccus","N","Y","N"
"1070","Parafrigoribacterium","N","Y","N"
"1071","Paraherbaspirillum","N","Y","N"
"1072","Paramesorhizobium","N","Y","N"
"1073","Parasporobacterium","N","Y","N"
"1075","Paratritirachium","N","Y","N"
"1076","Parvibacter","N","Y","N"
"1077","Parviterribacter","N","Y","N"
"1078","Pasteuria","N","Y","N"
"1079","Patulibacter","N","Y","N"
"1080","Paucisalibacillus","N","Y","N"
"1081","Pediococcus","N","Y","N"
"1082","Pedobacter","N","Y","N"
"1083","Pedomicrobium","N","Y","N"
"1084","Pedosphaera","N","Y","N"
"1085","Pelagibacterium","N","Y","N"
"1086","Pelomonas","N","Y","N"
"1087","Pelosinus","N","Y","N"
"1088","Pelotomaculum","N","Y","N"
"1091","Peptostreptococcus","N","Y","N"
"1092","Peredibacter","N","Y","N"
"1094","Phaselicystis","N","Y","N"
"1095","Phenylobacterium","N","Y","N"
"1096","Phocea","N","Y","N"
"1097","Photobacterium","N","Y","N"
"1098","Phreatobacter","N","Y","N"
"1099","Phyllobacterium","N","Y","N"
"1100","Phytoactinopolyspora","N","Y","N"
"1101","Phytohabitans","N","Y","N"
"1102","Pir4_lineage","N","Y","N"
"1103","Pirellula","N","Y","N"
"1104","Planctomicrobium","N","Y","N"
"1105","Planifilum","N","Y","N"
"1106","Planktomarina","N","Y","N"
"1107","Planktotalea","N","Y","N"
"1108","Planktothrix_NIVA-CYA_15","N","Y","N"
"1109","Planococcus","N","Y","N"
"1110","Planomicrobium","N","Y","N"
"1111","Plantibacter","N","Y","N"
"1112","Plastorhodobacter","N","Y","N"
"1113","Pleomorphomonas","N","Y","N"
"1114","Pleurocapsa_PCC-7319","N","Y","N"
"1115","Plot4-2H12","N","Y","N"
"1116","Pluralibacter","N","Y","N"
"1117","PMMR1","N","Y","N"
"1118","Polycladomyces","N","Y","N"
"1119","possible_genus_04","N","Y","N"
"1120","Prauserella","N","Y","N"
"1121","Prevotella_6","N","Y","N"
"1122","Prevotella_7","N","Y","N"
"1123","Prevotellaceae_Ga6A1_group","N","Y","N"
"1124","Prevotellaceae_NK3B31_group","N","Y","N"
"1125","Promicromonospora","N","Y","N"
"1126","Propionispora","N","Y","N"
"1127","Proteiniborus","N","Y","N"
"1128","Proteiniclasticum","N","Y","N"
"1129","Proteiniphilum","N","Y","N"
"1130","Proteocatella","N","Y","N"
"1131","Pseudactinotalea","N","Y","N"
"1132","Pseudaminobacter","N","Y","N"
"1133","Pseudarthrobacter","N","Y","N"
"1134","Pseudochrobactrum","N","Y","N"
"1135","Pseudocitrobacter","N","Y","N"
"1136","Pseudoclavibacter","N","Y","N"
"1137","Pseudoflavitalea","N","Y","N"
"1139","Pseudogracilibacillus","N","Y","N"
"1140","Pseudohongiella","N","Y","N"
"1141","Pseudolabrys","N","Y","N"
"1143","Pseudonocardia","N","Y","N"
"1144","Pseudophaeobacter","N","Y","N"
"1145","Pseudorhizobium","N","Y","N"
"1146","Pseudorhodoferax","N","Y","N"
"1147","Pseudorhodoplanes","N","Y","N"
"1148","Pseudosporangium","N","Y","N"
"1149","Pseudoxanthomonas","N","Y","N"
"1150","Psychrobacillus","N","Y","N"
"1151","Psychrobacter","N","Y","N"
"1152","Psychroglaciecola","N","Y","N"
"1153","Pullulanibacillus","N","Y","N"
"1154","Pusillimonas","N","Y","N"
"1155","Qipengyuania","N","Y","N"
"1156","Quadrisphaera","N","Y","N"
"1157","Ralstonia","N","Y","N"
"1158","Raoultibacter","N","Y","N"
"1159","Rathayibacter","N","Y","N"
"1160","RB41","N","Y","N"
"1161","Renibacterium","N","Y","N"
"1162","Reyranella","N","Y","N"
"1163","Rhizobacter","N","Y","N"
"1164","Rhizocola","N","Y","N"
"1165","Rhizopus","N","Y","N"
"1166","Rhodobacter","N","Y","N"
"1167","Rhodococcus","N","Y","N"
"1168","Rhodomicrobium","N","Y","N"
"1169","Rhodopila","N","Y","N"
"1170","Rhodopirellula","N","Y","N"
"1171","Rhodoplanes","N","Y","N"
"1172","Rhodopseudomonas","N","Y","N"
"1173","Rhodospirillum","N","Y","N"
"1174","Rhodotorula","N","Y","N"
"1175","Rickettsia","N","Y","N"
"1176","Rickettsiella","N","Y","N"
"1177","Risungbinella","N","Y","N"
"1178","Robiginitalea","N","Y","N"
"1179","Robinsoniella","N","Y","N"
"1182","Roseibacillus","N","Y","N"
"1183","Roseibium","N","Y","N"
"1184","Roseococcus","N","Y","N"
"1185","Roseofilum_AO1-A","N","Y","N"
"1186","Roseomonas","N","Y","N"
"1188","Ruania","N","Y","N"
"1189","Rubellimicrobium","N","Y","N"
"1190","Rubinisphaera","N","Y","N"
"1191","Rubripirellula","N","Y","N"
"1192","Rubrobacter","N","Y","N"
"1193","Rugosimonospora","N","Y","N"
"1194","Ruminiclostridium","N","Y","N"
"1195","Ruminiclostridium_1","N","Y","N"
"1196","Ruminiclostridium_5","N","Y","N"
"1197","Ruminiclostridium_6","N","Y","N"
"1198","Ruminiclostridium_9","N","Y","N"
"1199","Ruminococcaceae_NK4A214_group","N","Y","N"
"1200","Ruminococcaceae_UCG-002","N","Y","N"
"1201","Ruminococcaceae_UCG-003","N","Y","N"
"1202","Ruminococcaceae_UCG-004","N","Y","N"
"1203","Ruminococcaceae_UCG-005","N","Y","N"
"1204","Ruminococcaceae_UCG-007","N","Y","N"
"1205","Ruminococcaceae_UCG-008","N","Y","N"
"1206","Ruminococcaceae_UCG-009","N","Y","N"
"1207","Ruminococcaceae_UCG-010","N","Y","N"
"1208","Ruminococcaceae_UCG-012","N","Y","N"
"1209","Ruminococcaceae_UCG-013","N","Y","N"
"1210","Ruminococcaceae_UCG-014","N","Y","N"
"1211","Ruminococcus_1","N","Y","N"
"1212","Ruminococcus_2","N","Y","N"
"1213","Rummeliibacillus","N","Y","N"
"1214","S31","N","Y","N"
"1215","S5-A14a","N","Y","N"
"1216","Saccharibacillus","N","Y","N"
"1217","Saccharococcus","N","Y","N"
"1218","Saccharofermentans","N","Y","N"
"1219","Saccharomonospora","N","Y","N"
"1220","Saccharomyces","N","Y","N"
"1221","Saccharopolyspora","N","Y","N"
"1222","Salana","N","Y","N"
"1223","Salinarimonas","N","Y","N"
"1224","Salinicoccus","N","Y","N"
"1225","Salinispora","N","Y","N"
"1226","Salipaludibacillus","N","Y","N"
"1227","Salmonella","N","Y","N"
"1228","Sandaracinus","N","Y","N"
"1229","Sanguibacter","N","Y","N"
"1230","Sarcina","N","Y","N"
"1231","Savagea","N","Y","N"
"1232","Sedimentibacter","N","Y","N"
"1233","Sediminihabitans","N","Y","N"
"1234","Sediminivirga","N","Y","N"
"1235","SEEP-SRB1","N","Y","N"
"1236","Seinonella","N","Y","N"
"1238","SH-PL14","N","Y","N"
"1239","Shimazuella","N","Y","N"
"1240","Shinella","N","Y","N"
"1241","Shuttleworthia","N","Y","N"
"1242","Silvanigrella","N","Y","N"
"1243","Singulisphaera","N","Y","N"
"1244","Sinibacillus","N","Y","N"
"1245","Siphonobacter","N","Y","N"
"1246","Skermanella","N","Y","N"
"1248","SN8","N","Y","N"
"1249","Sodalis","N","Y","N"
"1250","Solibacillus","N","Y","N"
"1251","Solirubrobacter","N","Y","N"
"1252","Sorangium","N","Y","N"
"1253","Sphaerobacter","N","Y","N"
"1254","Sphingoaurantiacus","N","Y","N"
"1255","Sphingobacterium","N","Y","N"
"1256","Sphingobium","N","Y","N"
"1257","Sphingomonas","N","Y","N"
"1258","Sphingopyxis","N","Y","N"
"1259","Sporacetigenium","N","Y","N"
"1260","Sporisorium","N","Y","N"
"1261","Sporobacter","N","Y","N"
"1262","Sporobacterium","N","Y","N"
"1263","Sporocytophaga","N","Y","N"
"1264","Sporolactobacillus","N","Y","N"
"1265","Sporomusa","N","Y","N"
