"effect","group","term","estimate","std.error","statistic","df","p.value","abs.estimate","plus.minus","log.estimate","log.std.error","sig.flag","conf.low","conf.high","log.conf.low","log.conf.high","ci95.low","ci95.high","experiment","trial","sample ID","hypothesis","Combined ID"
"fixed",NA,"gavagePost-BRB",-86.9192634292637,154.011300337044,-0.564369388733465,17.610756876885,0.579620569239943,86.9192634292637,"n",-1.93911603736821,2.18755258768043,"NS",-240.930563766308,67.0920369077804,-4.12666862504864,0.248436550312222,-388.78141208987,214.942885231343,"mimic5","BEWELL","HONC60-102","Random Sample","Random Sample (102)"
"fixed",NA,"days2:treatmentPD1",0.518172440464295,0.438440926744146,1.18185235195134,59.7230397351958,0.241948758080659,0.518172440464295,"p",-0.285525689135924,0.358088912941707,"NS",0.0797315137201499,0.956613367208441,-0.643614602077631,0.0725632238057832,-0.34117177595423,1.37751665688282,"mimic5","BEWELL","HONC60-102","Random Sample","Random Sample (102)"
"fixed",NA,"days2:gavagePost-BRB",2.1937864578501,0.47347910477785,4.63333320459706,61.3604637013201,1.92438093063147e-05,2.1937864578501,"p",0.341194351273856,0.324699182193788,"S",1.72030735307225,2.66726556262795,0.0164951690800681,0.665893533467644,1.26576741248552,3.12180550321469,"mimic5","BEWELL","HONC60-102","Random Sample","Random Sample (102)"
"fixed",NA,"treatmentPD1:gavagePost-BRB",54.643653439576,214.284693520703,0.255004930785207,16.7042734436788,0.80183235842057,54.643653439576,"p",1.73753972829435,2.33099115024431,"NS",-159.641040081127,268.928346960279,-0.593451421949953,4.06853087853866,-365.354345861001,474.641652740153,"mimic5","BEWELL","HONC60-102","Random Sample","Random Sample (102)"
"fixed",NA,"days2:treatmentPD1:gavagePost-BRB",-1.87100964038873,0.633085027554596,-2.95538444119559,59.8148887694404,0.0044620871816239,1.87100964038873,"n",-0.272076025210776,0.198537957410942,"S",-2.50409466794333,-1.23792461283414,-0.470613982621718,-0.0735380677998347,-3.11185629439574,-0.630162986381725,"mimic5","BEWELL","HONC60-102","Random Sample","Random Sample (102)"
"fixed",NA,"days.from.injection",6.67362959631443,24.4936096385507,0.272464111855966,69.0000001661567,0.786078899829317,6.67362959631443,"p",0.824362098521827,1.38905279209025,"NS",-17.8199800422362,31.1672392348651,-0.564690693568426,2.21341489061208,-41.3338452952448,54.6811044878737,"mimic9","BEWELL","HONC60-62","Akkermansia","Akkermansia (62)"
"fixed",NA,"days2",2.05838412898243,1.06980491507384,1.92407428679682,69.0000001078397,0.0584706629028761,2.05838412898243,"p",0.313526424619933,0.0293045888707791,"NS",0.988579213908595,3.12818904405627,0.284221835749154,0.342831013490712,-0.0384335045622914,4.15520176252716,"mimic9","BEWELL","HONC60-62","Akkermansia","Akkermansia (62)"
"fixed",NA,"treatmentAnti-PD1",125.413617628253,120.853743214321,1.03773051866375,30.2736275250372,0.307613537194441,125.413617628253,"p",2.0983446955036,2.0822601063957,"NS",4.55987441393208,246.267360842575,0.0160845891078938,4.1806048018993,-111.459719071816,362.286954328323,"mimic9","BEWELL","HONC60-62","Akkermansia","Akkermansia (62)"
"fixed",NA,"days2:treatmentAnti-PD1",-2.21784187724951,0.498677507512805,-4.447447185479,68.9999999312634,3.24488116474382e-05,2.21784187724951,"n",-0.345930579556176,0.302180219877421,"S",-2.71651938476231,-1.7191643697367,-0.648110799433596,-0.0437503596787548,-3.1952497919746,-1.24043396252441,"mimic9","BEWELL","HONC60-62","Akkermansia","Akkermansia (62)"
"fixed",NA,"days.from.injection",-8.47454831989474,7.81198244759625,-1.0848140503058,71.9999999473275,0.281623085355786,8.47454831989474,"n",-0.928116560278686,0.892761258819522,"NS",-16.286530767491,-0.662565872298485,-1.82087781909821,-0.0353553014591641,-23.7860339171834,6.83693727739392,"mimic10","BEWELL","HONC60-68","Roseburia","Roseburia (68)"
