"term","estimate","std.error","statistic","p.value","padj","APlab","RHlab"
"ASV40",-44031.3470728165,15764.4816125304,-2.79307294429639,0.00693526040892075,0.216624898655113,"ASV40","s__unclassified-f__Lachnospiraceae"
"ASV1368",4764935.407325,1760418.00571478,2.70670681159631,0.00873420602393794,0.244098073616373,"ASV1368","s__unclassified-f__Lachnospiraceae"
"ASV1874",6353247.20976666,2347224.00761971,2.70670681159631,0.00873420602393802,0.244098073616373,"ASV1874","s__unclassified-g__GCA-900066575"
"ASV67",17225.8572666882,6491.72467059835,2.65351014418491,0.0101059652306075,0.256060779302708,"ASV67","s__Blautia faecis"
"ASV75",64972.4882765704,24548.3425100612,2.64671589334153,0.0102897661636452,0.256060779302708,"ASV75","s__unclassified-f__Lachnospiraceae"
"ASV5",-25638.1285514209,9736.27283407021,-2.63325904977777,0.0106628293397362,0.256060779302708,"ASV5","s__unclassified-g__Blautia"
"ASV230",964175.68249009,370576.672629334,2.601825084264,0.0115444552783628,0.256060779302708,"ASV230","s__Hungatella hathewayi"
"ASV75:treatmentPD1",-64313.0579075983,24715.513607543,-2.60213317549551,0.0115733685560546,0.256060779302708,"ASV75","s__unclassified-f__Lachnospiraceae"
"ASV22:treatmentPD1",-57887.7398389344,22629.6614986487,-2.55804709418172,0.0129841336885627,0.267699139703098,"ASV22","s__unclassified-g__Lachnospiraceae_NK4A136_group"
"ASV186",78105.0381566228,30649.599624863,2.54832164571781,0.0132745217803044,0.267699139703098,"ASV186","s__unclassified-g__Eisenbergiella"
"ASV59",-78356.5983390154,30890.0838142178,-2.53662627820227,0.0137243552400453,0.267699139703098,"ASV59","s__unclassified-g__Marvinbryantia"
"ASV42",-6700.33453164316,2652.84844582887,-2.52571327328488,0.0141159621689016,0.267699139703098,"ASV42","s__unclassified-g__Lachnospiraceae_NK4A136_group"
"ASV227",-114046.013158854,46052.0240406515,-2.47646038441616,0.0160119545884925,0.286396206338948,"ASV227","s__unclassified-g__A2"
"ASV108",-51455.9170406594,20812.6483871973,-2.47233874725487,0.0161805766293191,0.286396206338948,"ASV108","s__unclassified-g__Acetatifactor"
"ASV51",-22538.0589159239,9264.9461004672,-2.43261630143616,0.0178894574806589,0.302530377342426,"ASV51","s__unclassified-f__Lachnospiraceae"
"ASV80",-46746.1330859469,19276.1551208744,-2.42507558134998,0.0182315858285454,0.302530377342426,"ASV80","s__unclassified-g__Lachnoclostridium"
"ASV16",7417.82584133133,3135.40527689825,2.36582680267398,0.0211303669773124,0.340006814089481,"ASV16","s__unclassified-f__Lachnospiraceae"
"ASV93:treatmentPD1",61204.8530403981,26455.5490561197,2.31349774334924,0.0240254792416559,0.354724235260633,"ASV93","s__unclassified-f__Lachnospiraceae"
