"treatment.group","days.from.injection","mean.volume","sd.volume","lwr","upr"
"mimic5 x IgG x 10v4",22,1418.904,706.450586093606,712.453413906394,2125.35458609361
"mimic5 x PD1 x 10v3",5,77.8563333333333,60.1536154552105,17.7027178781229,138.009948788544
"mimic5 x PD1 x 10v3",7,159.731333333333,79.4781652111656,80.2531681221677,239.209498544499
"mimic5 x PD1 x 10v3",10,210.686166666667,78.9223755096318,131.763791157035,289.608542176298
"mimic5 x PD1 x 10v3",13,151.670833333333,101.484528887823,50.1863044455106,253.155362221156
"mimic5 x PD1 x 10v3",16,240.7925,230.058886721965,10.7336132780348,470.851386721965
"mimic5 x PD1 x 10v3",19,338.275333333333,357.707602627248,0,695.982935960582
"mimic5 x PD1 x 10v3",22,837.008833333333,368.14784965973,468.860983673603,1205.15668299306
"mimic5 x PD1 x 10v4",5,37.4675,32.684846224971,4.78265377502902,70.152346224971
"mimic5 x PD1 x 10v4",7,70.1043333333333,26.2826472902433,43.82168604309,96.3869806235766
"mimic5 x PD1 x 10v4",10,173.6565,109.959122210256,63.6973777897441,283.615622210256
"mimic5 x PD1 x 10v4",13,212.124666666667,168.442788582157,43.6818780845094,380.567455248824
"mimic5 x PD1 x 10v4",16,427.739333333333,347.328564056188,80.4107692771456,775.067897389521
"mimic5 x PD1 x 10v4",19,506.312666666667,275.894043259968,230.418623406698,782.206709926635
"mimic5 x PD1 x 10v4",22,772.267,833.847186432862,0,1606.11418643286
"mimic6 x Anti-PD1 x HONC60-55 v3",4,1.08,1.52735064736294,0,2.60735064736294
"mimic6 x Anti-PD1 x HONC60-55 v3",7,96.818,69.0390776879297,27.7789223120703,165.85707768793
"mimic6 x Anti-PD1 x HONC60-55 v3",9,136.14625,74.0782741640557,62.0679758359443,210.224524164056
"mimic6 x Anti-PD1 x HONC60-55 v3",12,112.603,86.8991807671396,25.7038192328604,199.50218076714
"mimic6 x Anti-PD1 x HONC60-55 v3",15,77.57925,103.165111608164,0,180.744361608164
"mimic6 x Anti-PD1 x HONC60-55 v3",18,56.25,79.5495128834866,0,135.799512883487
"mimic6 x Anti-PD1 x HONC60-55 v3",21,90.8375,128.463624472066,0,219.301124472066
"mimic6 x Anti-PD1 x HONC60-55 v4",4,62.5201666666667,23.5674733071522,38.9526933595144,86.0876399738189
"mimic6 x Anti-PD1 x HONC60-55 v4",7,118.369166666667,38.0156579100419,80.3535087566247,156.384824576709
"mimic6 x Anti-PD1 x HONC60-55 v4",9,181.897,66.7368883826629,115.160111617337,248.633888382663
"mimic6 x Anti-PD1 x HONC60-55 v4",12,169.955166666667,104.385154960288,65.5700117063787,274.340321626955
"mimic6 x Anti-PD1 x HONC60-55 v4",15,95.1671666666667,120.617334206503,0,215.78450087317
"mimic6 x Anti-PD1 x HONC60-55 v4",18,29.2933333333333,50.7375416563843,0,80.0308749897176
"mimic6 x Anti-PD1 x HONC60-55 v4",21,30.7785,53.3099257807587,0,84.0884257807587
"mimic6 x IgG x HONC60-55 v3",4,6.51375,6.76807255612704,0,13.281822556127
"mimic6 x IgG x HONC60-55 v3",7,89.06475,17.4446778452627,71.6200721547373,106.509427845263
"mimic6 x IgG x HONC60-55 v3",9,117.55175,10.0207637495852,107.530986250415,127.572513749585
"mimic6 x IgG x HONC60-55 v3",12,212.51925,12.5401852109528,199.979064789047,225.059435210953
"mimic6 x IgG x HONC60-55 v3",15,308.54625,116.055668229195,192.490581770805,424.601918229195
"mimic6 x IgG x HONC60-55 v3",18,551.9395,20.9105617332486,531.028938266751,572.850061733249
"mimic6 x IgG x HONC60-55 v3",21,1225.3495,543.552275591318,681.797224408682,1768.90177559132
"mimic6 x IgG x HONC60-55 v4",4,23.3976666666667,18.3983303680887,4.99933629857801,41.7959970347553
"mimic6 x IgG x HONC60-55 v4",7,115.67,140.080314730515,0,255.750314730515
"mimic6 x IgG x HONC60-55 v4",9,207.619166666667,216.682678222287,0,424.301844888954
"mimic6 x IgG x HONC60-55 v4",12,310.946,132.395845282244,178.550154717756,443.341845282244
"mimic6 x IgG x HONC60-55 v4",15,534.67175,400.810397440142,133.861352559857,935.482147440142
"mimic6 x IgG x HONC60-55 v4",18,869.58675,622.659493183172,246.927256816828,1492.24624318317
"mimic6 x IgG x HONC60-55 v4",21,623.598,NA,NA,NA
"mimic7 x Anti-PD1 x HONC60-55 v3",2,25.2728333333333,12.7507502360972,12.5220830972361,38.0235835694305
"mimic7 x Anti-PD1 x HONC60-55 v3",4,30.1415,7.20823690301588,22.9332630969841,37.3497369030159
"mimic7 x Anti-PD1 x HONC60-55 v3",7,63.434,15.6649949888278,47.7690050111722,79.0989949888278
"mimic7 x Anti-PD1 x HONC60-55 v3",9,85.7538333333333,45.7886038396382,39.9652294936951,131.542437172972
"mimic7 x Anti-PD1 x HONC60-55 v3",11,139.794666666667,51.7894792943831,88.0051873722836,191.58414596105
"mimic7 x Anti-PD1 x HONC60-55 v3",14,125.442666666667,46.2577716857755,79.1848949808912,171.700438352442
"mimic7 x Anti-PD1 x HONC60-55 v3",17,43.4045,37.609152034445,5.79534796555498,81.013652034445
"mimic7 x Anti-PD1 x HONC60-55 v3",21,6.36666666666667,6.53076054784842,0,12.8974272145151
"mimic7 x Anti-PD1 x HONC60-55 v4",2,14.5066666666667,12.8173372169626,1.68932944970411,27.3240038836292
"mimic7 x Anti-PD1 x HONC60-55 v4",4,34.2151666666667,20.7170938619135,13.4980728047532,54.9322605285802
"mimic7 x Anti-PD1 x HONC60-55 v4",7,69.0433333333333,54.8594171162375,14.1839162170958,123.902750449571
"mimic7 x Anti-PD1 x HONC60-55 v4",9,163.871333333333,22.1723159950271,141.699017338306,186.04364932836
"mimic7 x Anti-PD1 x HONC60-55 v4",11,162.517333333333,59.0319691381995,103.485364195134,221.549302471533
"mimic7 x Anti-PD1 x HONC60-55 v4",14,208.111833333333,188.092503247959,20.0193300853747,396.204336581292
"mimic7 x Anti-PD1 x HONC60-55 v4",17,145.075,188.460267894854,0,333.535267894854
"mimic7 x Anti-PD1 x HONC60-55 v4",21,98.4598333333333,150.601909217922,0,249.061742551256
"mimic7 x IgG x HONC60-55 v3",2,0,NA,NA,NA
"mimic7 x IgG x HONC60-55 v3",4,1.666,NA,NA,NA
"mimic7 x IgG x HONC60-55 v3",7,65.664,NA,NA,NA
"mimic7 x IgG x HONC60-55 v3",9,187.303,NA,NA,NA
"mimic7 x IgG x HONC60-55 v3",11,133.171,NA,NA,NA
"mimic7 x IgG x HONC60-55 v3",14,245.735,NA,NA,NA
"mimic7 x IgG x HONC60-55 v3",17,312.5145,NA,NA,NA
"mimic7 x IgG x HONC60-55 v3",21,573.1595,NA,NA,NA
"mimic7 x IgG x HONC60-55 v4",2,2.14066666666667,3.70774342873578,0,5.84841009540244
"mimic7 x IgG x HONC60-55 v4",4,20.125,32.0539908123778,0,52.1789908123778
"mimic7 x IgG x HONC60-55 v4",7,53.1418333333333,48.0873853009636,5.05444803236969,101.229218634297
"mimic7 x IgG x HONC60-55 v4",9,72.8523333333333,22.3640142714436,50.4883190618897,95.2163476047769
"mimic7 x IgG x HONC60-55 v4",11,83.8465,23.7681179787126,60.0783820212874,107.614617978713
"mimic7 x IgG x HONC60-55 v4",14,216.630666666667,187.017047072141,29.6136195945258,403.647713738808
"mimic7 x IgG x HONC60-55 v4",17,267.796833333333,104.630099328938,163.166734004396,372.426932662271
"mimic7 x IgG x HONC60-55 v4",21,597.979666666667,173.881144004557,424.09852266211,771.860810671223
